3;empresa II;usuEmpresa;empresa@gmail.com;42.063.313/0001-39;11 98890-9672;214432;rua 14;123;08032327;bairro 124;cidade 14
1;null;aliDias;null;null;null;null;null;null;null;null;null
1;Empresa I;empreUSU;empresa@gmail.com;42.063.313/0001-39;11 90334-8904;124323;rua 12;2234;08032327;bairro 13;cidade 1
2;Empresa I;empreUSU;empresa@gmail.com;42.063.313/0001-39;11 90334-8904;124323;rua 12;2234;08032327;bairro 13;cidade 1
3;Empresa I;empreUSU;empresa@gmail.com;42.063.313/0001-39;11 90334-8904;124323;rua 12;2234;08032327;bairro 13;cidade 1
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;vinicius moreira;vin123;vinicius@gmail.com;42.034.313/0001-39;11 99334-8890;null;rua helio tavares ;123;08032327;bairro a;sao paulo
2;Vinicius Moreira dos Santos;vin123;vinicius@gmail.com;42.063.313/0001-39;11 99033-9342;null;Rua Helio tavares;123;bairro a;sao paulo;12
3;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
4;vinicius moreira dos santos;vin123;vinicius@gmail.com;42.063.313/0001-39;11 99834-9034;null;123;8032327;sao paulo;ap 12;2002-09-10
5;vinicius moreira dos santos;vin123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro a;sao paulo
6;vinicius moreira dos santos;vin123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro a;sao paulo
1;vinicius moreira dos santos;vin123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro a;sao paulo
2;vinicius moreira dos santos;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro;sao paulo
1;vinicius moreira dos santos;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro;sao paulo
2;vinicius moreira dos santos;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro;sao paulo
3;vinicius moreira dos santos;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99344-9934;null;rua helio tavares;123;08032327;bairro;sao paulo
4;empresa laranja;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99233-9934;null;rua helio tavares;123;08032327;bairro a ;sao paulo
1;empresa laranja;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99233-9934;null;rua helio tavares;123;08032327;bairro a ;sao paulo
2;empresa laranja;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99234-0034;1234;rua helio tavares;112;08032329;bairro a;sao paulo
2;empresa laranja;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99234-0034;1234;rua helio tavares;112;08032329;bairro a;sao paulo
1;empresa laranja;empresa123;vinicius@gmail.com;42.063.313/0001-39;11 99234-0034;1234;rua helio tavares;112;08032329;bairro a;sao paulo
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
2;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
1;empresa 12;grupo-6723;empresatres@gmail.com;42.063.313/0001-39;11 90334-8904;1334;rua 5;0;08090234;bairro C;poa
